DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
02/17/2017,01:00,AEEC, -2.48,N
02/17/2017,01:00,AMISTAD_ALL, 7.16,N
02/17/2017,01:00,AMOCOOIL_CC1, 12.98,N
02/17/2017,01:00,AMOCOOIL_CC2, 12.98,N
02/17/2017,01:00,AMOCO_PUN1, 12.98,N
02/17/2017,01:00,AMOCO_PUN2, 12.98,N
02/17/2017,01:00,AMO_AMOCO_1, 12.98,N
02/17/2017,01:00,AMO_AMOCO_2, 12.98,N
02/17/2017,01:00,AMO_AMOCO_5, 12.98,N
02/17/2017,01:00,AMO_AMOCO_G1, 12.98,N
02/17/2017,01:00,AMO_AMOCO_G2, 12.98,N
02/17/2017,01:00,AMO_AMOCO_G3, 12.98,N
02/17/2017,01:00,AMO_AMOCO_S1, 12.98,N
02/17/2017,01:00,AMO_AMOCO_S2, 12.98,N
02/17/2017,01:00,ANACACHO_ANA, 8.35,N
02/17/2017,01:00,ATK_ATKINSG7, 11.73,N
02/17/2017,01:00,AUSTPL_ALL, 10.42,N
02/17/2017,01:00,AZ_ALL, 13.17,N
02/17/2017,01:00,BAC_RN_ALL, 12.98,N
02/17/2017,01:00,BAFFIN_ALL, 10.69,N
02/17/2017,01:00,BASTEN_CC1, 10.54,N
02/17/2017,01:00,BASTEN_CCU, 10.54,N
02/17/2017,01:00,BBSES_UNIT1, 14.7,N
02/17/2017,01:00,BBSES_UNIT2, 14.7,N
02/17/2017,01:00,BCATWD_WD_1, -4.82,N
02/17/2017,01:00,BFM_HYD_ST1, 13.09,N
02/17/2017,01:00,BLSMT1_5_A_6, -3.05,N
02/17/2017,01:00,BOOTLEG_UN1, 1.4,N
02/17/2017,01:00,BORDAS_345, 10.42,N
02/17/2017,01:00,BORDAS_ALL, 10.65,N
02/17/2017,01:00,BOSQUESW_CC1, 9.89,N
02/17/2017,01:00,BOSQUESW_CC2, 10.23,N
02/17/2017,01:00,BOSQ_BSQSU_5, 10.23,N
02/17/2017,01:00,BOSQ_BSQS_12, 10.23,N
02/17/2017,01:00,BOSQ_BSQS_34, 9.89,N
02/17/2017,01:00,BRAUNIG_CC1, 10.04,N
02/17/2017,01:00,BRAUNIG_VHB1, 10.06,N
02/17/2017,01:00,BRAUNIG_VHB2, 10.06,N
02/17/2017,01:00,BRAUNIG_VHB3, 10.02,N
02/17/2017,01:00,BRAZ_WND_ALL, -0.48,N
02/17/2017,01:00,BRA_AVR1_CT2, 10.04,N
02/17/2017,01:00,BRA_AVR_CST1, 10.04,N
02/17/2017,01:00,BRISCOE_WIND, -2.78,N
02/17/2017,01:00,BRTSW_BCW1, -4.55,N
02/17/2017,01:00,BR_VHB6CT5_6, 10.06,N
02/17/2017,01:00,BR_VHB6CT7_8, 10.06,N
02/17/2017,01:00,BSF_PUN1, 12.65,N
02/17/2017,01:00,BSF_PUN2, 12.65,N
02/17/2017,01:00,BTE_BTE_G1, 13.21,N
02/17/2017,01:00,BTE_BTE_G2, 13.21,N
02/17/2017,01:00,BTE_BTE_G3, 13.21,N
02/17/2017,01:00,BTE_BTE_G4, 13.21,N
02/17/2017,01:00,BTE_CC1, 13.21,N
02/17/2017,01:00,BTE_PUN1, 13.21,N
02/17/2017,01:00,BTE_PUN2, 13.21,N
02/17/2017,01:00,BUCHAN_ALL, 9.4,N
02/17/2017,01:00,BUFF_GAP_ALL, 0.51,N
02/17/2017,01:00,BULLCRK_1_2, -0.16,N
02/17/2017,01:00,BVE_CC1, 12.83,N
02/17/2017,01:00,BVE_UNIT1, 12.83,N
02/17/2017,01:00,BVE_UNIT2, 12.83,N
02/17/2017,01:00,BVE_UNIT3, 12.83,N
02/17/2017,01:00,BYU_BYU_1, 13.09,N
02/17/2017,01:00,BYU_BYU_12, 13.09,N
02/17/2017,01:00,BYU_BYU_34, 13.09,N
02/17/2017,01:00,BYU_BYU_G8, 13.09,N
02/17/2017,01:00,BYU_CC1, 13.09,N
02/17/2017,01:00,BYU_PUN1, 13.09,N
02/17/2017,01:00,BYU_PUN2, 13.09,N
02/17/2017,01:00,BYU_PUN3, 13.09,N
02/17/2017,01:00,BYU_PUN4, 13.09,N
02/17/2017,01:00,B_DAVIS_3, 10.7,N
02/17/2017,01:00,B_DAVIS_4, 10.7,N
02/17/2017,01:00,B_DAVIS_CC1, 10.7,N
02/17/2017,01:00,B_D_B_DAVIG1, 10.7,N
02/17/2017,01:00,B_D_B_DAVIG2, 10.7,N
02/17/2017,01:00,CALAVER_JKS1, 10.1,N
02/17/2017,01:00,CALAVER_JKS2, 10.1,N
02/17/2017,01:00,CALAVER_JTD1, 10.04,N
02/17/2017,01:00,CALAVER_JTD2, 10.05,N
02/17/2017,01:00,CALAVER_OWS1, 10.05,N
02/17/2017,01:00,CALAVER_OWS2, 10.05,N
