DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
02/27/2017,01:00,AEEC, 16.16,N
02/27/2017,01:00,AMISTAD_ALL, 16.32,N
02/27/2017,01:00,AMOCOOIL_CC1, 16.41,N
02/27/2017,01:00,AMOCOOIL_CC2, 16.41,N
02/27/2017,01:00,AMOCO_PUN1, 16.41,N
02/27/2017,01:00,AMOCO_PUN2, 16.41,N
02/27/2017,01:00,AMO_AMOCO_1, 16.41,N
02/27/2017,01:00,AMO_AMOCO_2, 16.41,N
02/27/2017,01:00,AMO_AMOCO_5, 16.41,N
02/27/2017,01:00,AMO_AMOCO_G1, 16.41,N
02/27/2017,01:00,AMO_AMOCO_G2, 16.41,N
02/27/2017,01:00,AMO_AMOCO_G3, 16.41,N
02/27/2017,01:00,AMO_AMOCO_S1, 16.41,N
02/27/2017,01:00,AMO_AMOCO_S2, 16.41,N
02/27/2017,01:00,ANACACHO_ANA, 16.33,N
02/27/2017,01:00,ATK_ATKINSG7, 16.19,N
02/27/2017,01:00,AUSTPL_ALL, 16.33,N
02/27/2017,01:00,AZ_ALL, 16.41,N
02/27/2017,01:00,BAC_RN_ALL, 16.41,N
02/27/2017,01:00,BAFFIN_ALL, 16.14,N
02/27/2017,01:00,BASTEN_CC1, 16.34,N
02/27/2017,01:00,BASTEN_CCU, 16.34,N
02/27/2017,01:00,BBSES_UNIT1, 16.24,N
02/27/2017,01:00,BBSES_UNIT2, 16.24,N
02/27/2017,01:00,BCATWD_WD_1, 16.26,N
02/27/2017,01:00,BFM_HYD_ST1, 16.41,N
02/27/2017,01:00,BLSMT1_5_A_6, 16.26,N
02/27/2017,01:00,BOOTLEG_UN1, 16.26,N
02/27/2017,01:00,BORDAS_345, 16.2,N
02/27/2017,01:00,BORDAS_ALL, 16.31,N
02/27/2017,01:00,BOSQUESW_CC1, 16.25,N
02/27/2017,01:00,BOSQUESW_CC2, 16.25,N
02/27/2017,01:00,BOSQ_BSQSU_5, 16.25,N
02/27/2017,01:00,BOSQ_BSQS_12, 16.25,N
02/27/2017,01:00,BOSQ_BSQS_34, 16.25,N
02/27/2017,01:00,BRAUNIG_CC1, 16.34,N
02/27/2017,01:00,BRAUNIG_VHB1, 16.34,N
02/27/2017,01:00,BRAUNIG_VHB2, 16.34,N
02/27/2017,01:00,BRAUNIG_VHB3, 16.34,N
02/27/2017,01:00,BRAZ_WND_ALL, 16.26,N
02/27/2017,01:00,BRA_AVR1_CT2, 16.34,N
02/27/2017,01:00,BRA_AVR_CST1, 16.34,N
02/27/2017,01:00,BRISCOE_WIND, 16.16,N
02/27/2017,01:00,BRTSW_BCW1, 16.25,N
02/27/2017,01:00,BR_VHB6CT5_6, 16.34,N
02/27/2017,01:00,BR_VHB6CT7_8, 16.34,N
02/27/2017,01:00,BSF_PUN1, 16.4,N
02/27/2017,01:00,BSF_PUN2, 16.4,N
02/27/2017,01:00,BTE_BTE_G1, 16.41,N
02/27/2017,01:00,BTE_BTE_G2, 16.41,N
02/27/2017,01:00,BTE_BTE_G3, 16.41,N
02/27/2017,01:00,BTE_BTE_G4, 16.41,N
02/27/2017,01:00,BTE_CC1, 16.41,N
02/27/2017,01:00,BTE_PUN1, 16.41,N
02/27/2017,01:00,BTE_PUN2, 16.41,N
02/27/2017,01:00,BUCHAN_ALL, 16.31,N
02/27/2017,01:00,BUFF_GAP_ALL, 16.27,N
02/27/2017,01:00,BULLCRK_1_2, 16.27,N
02/27/2017,01:00,BVE_CC1, 16.41,N
02/27/2017,01:00,BVE_UNIT1, 16.41,N
02/27/2017,01:00,BVE_UNIT2, 16.41,N
02/27/2017,01:00,BVE_UNIT3, 16.41,N
02/27/2017,01:00,BYU_BYU_1, 16.41,N
02/27/2017,01:00,BYU_BYU_12, 16.41,N
02/27/2017,01:00,BYU_BYU_34, 16.41,N
02/27/2017,01:00,BYU_BYU_G8, 16.41,N
02/27/2017,01:00,BYU_CC1, 16.41,N
02/27/2017,01:00,BYU_PUN1, 16.41,N
02/27/2017,01:00,BYU_PUN2, 16.41,N
02/27/2017,01:00,BYU_PUN3, 16.41,N
02/27/2017,01:00,BYU_PUN4, 16.41,N
02/27/2017,01:00,B_DAVIS_3, 16.47,N
02/27/2017,01:00,B_DAVIS_4, 16.47,N
02/27/2017,01:00,B_DAVIS_CC1, 16.47,N
02/27/2017,01:00,B_D_B_DAVIG1, 16.47,N
02/27/2017,01:00,B_D_B_DAVIG2, 16.47,N
02/27/2017,01:00,CALAVER_JKS1, 16.34,N
02/27/2017,01:00,CALAVER_JKS2, 16.34,N
02/27/2017,01:00,CALAVER_JTD1, 16.34,N
02/27/2017,01:00,CALAVER_JTD2, 16.34,N
02/27/2017,01:00,CALAVER_OWS1, 16.34,N
02/27/2017,01:00,CALAVER_OWS2, 16.34,N
02/27/2017,01:00,CALLAHA_WND1, 16.27,N
02/27/2017,01:00,CAL_ALL, 16.41,N
02/27/2017,01:00,CAL_CALGT1, 16.41,N
02/27/2017,01:00,CAL_CALSTG1, 16.41,N
02/27/2017,01:00,CAL_CC1, 16.41,N
02/27/2017,01:00,CAL_PUN1, 16.41,N
02/27/2017,01:00,CAL_PUN2, 16.41,N
02/27/2017,01:00,CAMWIND_RN, 15.93,N
02/27/2017,01:00,CAPRIDG4_CR4, 16.27,N
02/27/2017,01:00,CAPRIDGE_ALL, 16.27,N
02/27/2017,01:00,CARBN_BSP_1, 16.27,N
02/27/2017,01:00,CBECII_1, 16.4,N
02/27/2017,01:00,CBECII_2, 16.4,N
02/27/2017,01:00,CBECII_CC3, 16.4,N
02/27/2017,01:00,CBEC_ALL, 16.4,N
02/27/2017,01:00,CBEC_CC1, 16.4,N
02/27/2017,01:00,CBEC_CC2, 16.4,N
02/27/2017,01:00,CBY4_ALL, 16.41,N
02/27/2017,01:00,CBY4_CC1, 16.41,N
02/27/2017,01:00,CBY_CBY_G1, 16.41,N
02/27/2017,01:00,CBY_CBY_G2, 16.41,N
02/27/2017,01:00,CCEC_CC1, 16.47,N
02/27/2017,01:00,CCEC_GT1, 16.47,N
02/27/2017,01:00,CCEC_GT2, 16.47,N
02/27/2017,01:00,CCEC_PUN1, 16.47,N
02/27/2017,01:00,CCEC_PUN2, 16.47,N
02/27/2017,01:00,CCEC_ST1, 16.47,N
02/27/2017,01:00,CEDROHI_CHW1, 13.17,N
02/27/2017,01:00,CHEDPW_GT2, 16.41,N
02/27/2017,01:00,CHE_CC1, 16.41,N
02/27/2017,01:00,CHE_LYD, 16.41,N
02/27/2017,01:00,CHE_LYD2, 16.41,N
02/27/2017,01:00,CHE_PUN1, 16.41,N
02/27/2017,01:00,CHE_PUN2, 16.41,N
02/27/2017,01:00,COL_COLETOG1, 16.36,N
02/27/2017,01:00,COTPLNS_RN, 16.16,N
02/27/2017,01:00,COTTON_PAP2, 16.44,N
02/27/2017,01:00,CPSES_UNIT1, 16.25,N
02/27/2017,01:00,CPSES_UNIT2, 16.25,N
02/27/2017,01:00,CSC_CSECG1_2, 16.26,N
02/27/2017,01:00,CTL_GT_102, 16.41,N
02/27/2017,01:00,CTL_GT_103, 16.41,N
02/27/2017,01:00,CTL_GT_104, 16.41,N
02/27/2017,01:00,CTL_PUN1, 16.41,N
02/27/2017,01:00,CTL_PUN2, 16.41,N
02/27/2017,01:00,CTL_PUN3, 16.41,N
02/27/2017,01:00,CTL_ST_101, 16.41,N
02/27/2017,01:00,CVC_CC1, 16.41,N
02/27/2017,01:00,CVC_CVCG1_5, 16.41,N
02/27/2017,01:00,CVC_CVC_G2, 16.41,N
02/27/2017,01:00,CVC_CVC_G3, 16.41,N
02/27/2017,01:00,DANSBY_ALL, 16.19,N
02/27/2017,01:00,DC2SES_ALL, 16.25,N
02/27/2017,01:00,DC_E, 16.25,N
02/27/2017,01:00,DC_L, 16.32,N
02/27/2017,01:00,DC_N, 16.26,N
02/27/2017,01:00,DC_R, 15.91,N
02/27/2017,01:00,DC_S, 16.34,N
02/27/2017,01:00,DDPEC_CC1, 16.41,N
02/27/2017,01:00,DDPEC_GT1, 16.41,N
02/27/2017,01:00,DDPEC_GT2, 16.41,N
02/27/2017,01:00,DDPEC_GT3, 16.41,N
02/27/2017,01:00,DDPEC_GT4, 16.41,N
02/27/2017,01:00,DDPEC_GT6, 16.41,N
02/27/2017,01:00,DDPEC_ST1, 16.41,N
02/27/2017,01:00,DECKER_DPG1, 16.33,N
02/27/2017,01:00,DECKER_DPG2, 16.33,N
02/27/2017,01:00,DECKER_GT, 16.34,N
02/27/2017,01:00,DENISON_G1_2, 16.25,N
02/27/2017,01:00,DIB_CC1, 16.41,N
02/27/2017,01:00,DIB_DIB_G1, 16.41,N
02/27/2017,01:00,DIB_DIB_G2, 16.41,N
02/27/2017,01:00,DIB_DIB_G3, 16.41,N
02/27/2017,01:00,DIB_DIB_G4, 16.41,N
02/27/2017,01:00,DIB_PUN1, 16.41,N
02/27/2017,01:00,DIB_PUN2, 16.41,N
02/27/2017,01:00,DOWGEN_PUN1, 16.4,N
02/27/2017,01:00,DOWGEN_PUN2, 16.4,N
02/27/2017,01:00,DOWGEN_PUN3, 16.4,N
02/27/2017,01:00,DOW_61_2_63, 16.4,N
02/27/2017,01:00,DOW_64, 16.4,N
02/27/2017,01:00,DOW_81_2_84, 16.4,N
02/27/2017,01:00,DOW_G37_G35, 16.4,N
02/27/2017,01:00,DOW_G66_ST65, 16.4,N
02/27/2017,01:00,DOW_G67, 16.4,N
02/27/2017,01:00,DOW_G96_ST95, 16.4,N
02/27/2017,01:00,DUKE_CC1, 15.9,N
02/27/2017,01:00,DUKE_GST1CCU, 15.9,N
02/27/2017,01:00,DUKE_GT2_CCU, 15.9,N
02/27/2017,01:00,DUP_DUPV1_G1, 16.38,N
02/27/2017,01:00,DUP_PUN1, 16.38,N
02/27/2017,01:00,DUP_PUN2, 16.38,N
02/27/2017,01:00,DUP_PUN3, 16.38,N
02/27/2017,01:00,DUP_PUN4, 16.38,N
02/27/2017,01:00,ECLIPSE_UN1, 16.33,N
02/27/2017,01:00,ELB_ELBCREEK, 16.27,N
02/27/2017,01:00,ELECTRAW_1_2, 16.26,N
02/27/2017,01:00,ENAS_ENA1, 16.26,N
02/27/2017,01:00,ETCCS_CC1, 16.25,N
02/27/2017,01:00,ETCCS_CCU, 16.25,N
02/27/2017,01:00,EXGNSND_RN, 16.31,N
02/27/2017,01:00,EXGNWTL_1, 13.17,N
02/27/2017,01:00,EXN_14, 16.41,N
02/27/2017,01:00,EXN_1_3, 16.41,N
02/27/2017,01:00,EXN_4, 16.41,N
02/27/2017,01:00,EXN_8, 16.41,N
02/27/2017,01:00,EXN_9_13, 16.41,N
02/27/2017,01:00,EXN_PUN1, 16.41,N
02/27/2017,01:00,EXN_PUN2, 16.41,N
02/27/2017,01:00,EXN_PUN3, 16.41,N
02/27/2017,01:00,FAL_FALCONG1, 15.9,N
02/27/2017,01:00,FAL_FALCONG2, 15.9,N
02/27/2017,01:00,FAL_FALCONG3, 15.9,N
02/27/2017,01:00,FERGCC_CC1, 16.31,N
02/27/2017,01:00,FERGCC_GT1_1, 16.31,N
02/27/2017,01:00,FERGCC_GT2_3, 16.31,N
02/27/2017,01:00,FERGCC_ST1_5, 16.31,N
02/27/2017,01:00,FLCNS_CC1, 16.27,N
02/27/2017,01:00,FLCNS_UNIT1, 16.27,N
02/27/2017,01:00,FLCNS_UNIT2, 16.27,N
02/27/2017,01:00,FLCNS_UNIT3, 16.27,N
02/27/2017,01:00,FLTCK_SSI, 16.26,N
02/27/2017,01:00,FORMOSA_CC1, 16.39,N
02/27/2017,01:00,FORMOSA_PUN1, 16.39,N
02/27/2017,01:00,FORMOSA_PUN2, 16.39,N
02/27/2017,01:00,FO_FORMOSA11, 16.39,N
02/27/2017,01:00,FO_FORMOSA12, 16.39,N
02/27/2017,01:00,FO_FORMOSG1, 16.39,N
02/27/2017,01:00,FO_FORMOSG10, 16.39,N
02/27/2017,01:00,FO_FORMOSG2, 16.39,N
02/27/2017,01:00,FO_FORMOSG3, 16.39,N
02/27/2017,01:00,FO_FORMOSG4, 16.39,N
02/27/2017,01:00,FO_FORMOSG5, 16.39,N
02/27/2017,01:00,FO_FORMOSG6, 16.39,N
02/27/2017,01:00,FO_FORMOSG7, 16.39,N
02/27/2017,01:00,FO_FORMOSG8, 16.39,N
02/27/2017,01:00,FO_FORMOSG9, 16.39,N
02/27/2017,01:00,FPPYD_FPP_G1, 16.35,N
02/27/2017,01:00,FPPYD_FPP_G2, 16.35,N
02/27/2017,01:00,FPPYD_FPP_G3, 16.35,N
02/27/2017,01:00,FREC_1_CCU, 16.24,N
02/27/2017,01:00,FREC_2_CCU, 16.24,N
02/27/2017,01:00,FREC_CC1, 16.24,N
02/27/2017,01:00,FREC_CC2, 16.24,N
02/27/2017,01:00,FRNYPP_1_CCU, 16.25,N
02/27/2017,01:00,FRNYPP_2_CCU, 16.25,N
02/27/2017,01:00,FRNYPP_CC1, 16.25,N
02/27/2017,01:00,FRNYPP_CC2, 16.25,N
02/27/2017,01:00,FRO_FRONTEG1, 15.9,N
02/27/2017,01:00,FRO_FRONTEG2, 15.9,N
02/27/2017,01:00,FRO_FRONTEG3, 15.9,N
02/27/2017,01:00,FTR_CC1, 16.26,N
02/27/2017,01:00,FTR_FTR_G1_4, 16.26,N
02/27/2017,01:00,GBY_GBY_5, 16.41,N
02/27/2017,01:00,GBY_GT, 16.41,N
02/27/2017,01:00,GIB_GIB_CRG1, 16.21,N
02/27/2017,01:00,GID_GIDEONG1, 16.34,N
02/27/2017,01:00,GID_GIDEONG2, 16.34,N
02/27/2017,01:00,GID_GIDEONG3, 16.34,N
02/27/2017,01:00,GOA_GOATWIND, 16.27,N
02/27/2017,01:00,GPASTURE_ALL, 16.26,N
02/27/2017,01:00,GRANDVW1_A_B, 16.16,N
02/27/2017,01:00,GRSES_UNIT1, 16.26,N
02/27/2017,01:00,GRSES_UNIT2, 16.26,N
02/27/2017,01:00,GUADG_CC1, 16.34,N
02/27/2017,01:00,GUADG_CC2, 16.34,N
02/27/2017,01:00,GUADG_CCU1, 16.34,N
02/27/2017,01:00,GUADG_CCU2, 16.34,N
02/27/2017,01:00,GUNMTN_NODE, 16.27,N
02/27/2017,01:00,GWEC_G1, 16.28,N
02/27/2017,01:00,HAYSEN1_2, 16.33,N
02/27/2017,01:00,HAYSEN3_4, 16.33,N
02/27/2017,01:00,HB_BUSAVG, 16.28,N
02/27/2017,01:00,HB_HOUSTON, 16.4,N
02/27/2017,01:00,HB_HUBAVG, 16.3,N
02/27/2017,01:00,HB_NORTH, 16.25,N
02/27/2017,01:00,HB_SOUTH, 16.3,N
02/27/2017,01:00,HB_WEST, 16.26,N
02/27/2017,01:00,HELIOS_RN, 16.34,N
02/27/2017,01:00,HHGT_KENDAL, 16.32,N
