DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
02/20/2017,01:00,AEEC, 16.09,N
02/20/2017,01:00,AMISTAD_ALL, 17.2,N
02/20/2017,01:00,AMOCOOIL_CC1, 17.61,N
02/20/2017,01:00,AMOCOOIL_CC2, 17.61,N
02/20/2017,01:00,AMOCO_PUN1, 17.61,N
02/20/2017,01:00,AMOCO_PUN2, 17.61,N
02/20/2017,01:00,AMO_AMOCO_1, 17.61,N
02/20/2017,01:00,AMO_AMOCO_2, 17.61,N
02/20/2017,01:00,AMO_AMOCO_5, 17.61,N
02/20/2017,01:00,AMO_AMOCO_G1, 17.61,N
02/20/2017,01:00,AMO_AMOCO_G2, 17.61,N
02/20/2017,01:00,AMO_AMOCO_G3, 17.61,N
02/20/2017,01:00,AMO_AMOCO_S1, 17.61,N
02/20/2017,01:00,AMO_AMOCO_S2, 17.61,N
02/20/2017,01:00,ANACACHO_ANA, 17.31,N
02/20/2017,01:00,ATK_ATKINSG7, 17.62,N
02/20/2017,01:00,AUSTPL_ALL, 17.73,N
02/20/2017,01:00,AZ_ALL, 17.61,N
02/20/2017,01:00,BAC_RN_ALL, 17.61,N
02/20/2017,01:00,BAFFIN_ALL, 17.51,N
02/20/2017,01:00,BASTEN_CC1, 17.64,N
02/20/2017,01:00,BASTEN_CCU, 17.64,N
02/20/2017,01:00,BBSES_UNIT1, 17.79,N
02/20/2017,01:00,BBSES_UNIT2, 17.79,N
02/20/2017,01:00,BCATWD_WD_1, 16.03,N
02/20/2017,01:00,BFM_HYD_ST1, 17.61,N
02/20/2017,01:00,BLSMT1_5_A_6, 16.21,N
02/20/2017,01:00,BOOTLEG_UN1, 16.62,N
02/20/2017,01:00,BORDAS_345, 17.5,N
02/20/2017,01:00,BORDAS_ALL, 17.52,N
02/20/2017,01:00,BOSQUESW_CC1, 15.18,N
02/20/2017,01:00,BOSQUESW_CC2, 15.27,N
02/20/2017,01:00,BOSQ_BSQSU_5, 15.27,N
02/20/2017,01:00,BOSQ_BSQS_12, 15.27,N
02/20/2017,01:00,BOSQ_BSQS_34, 15.18,N
02/20/2017,01:00,BRAUNIG_CC1, 17.47,N
02/20/2017,01:00,BRAUNIG_VHB1, 17.48,N
02/20/2017,01:00,BRAUNIG_VHB2, 17.48,N
02/20/2017,01:00,BRAUNIG_VHB3, 17.47,N
02/20/2017,01:00,BRAZ_WND_ALL, 16.45,N
02/20/2017,01:00,BRA_AVR1_CT2, 17.47,N
02/20/2017,01:00,BRA_AVR_CST1, 17.47,N
02/20/2017,01:00,BRISCOE_WIND, 16.06,N
02/20/2017,01:00,BRTSW_BCW1, 15.92,N
02/20/2017,01:00,BR_VHB6CT5_6, 17.48,N
02/20/2017,01:00,BR_VHB6CT7_8, 17.48,N
02/20/2017,01:00,BSF_PUN1, 17.6,N
02/20/2017,01:00,BSF_PUN2, 17.6,N
02/20/2017,01:00,BTE_BTE_G1, 17.61,N
02/20/2017,01:00,BTE_BTE_G2, 17.61,N
02/20/2017,01:00,BTE_BTE_G3, 17.61,N
02/20/2017,01:00,BTE_BTE_G4, 17.61,N
02/20/2017,01:00,BTE_CC1, 17.61,N
02/20/2017,01:00,BTE_PUN1, 17.61,N
02/20/2017,01:00,BTE_PUN2, 17.61,N
02/20/2017,01:00,BUCHAN_ALL, 17.4,N
02/20/2017,01:00,BUFF_GAP_ALL, 16.52,N
02/20/2017,01:00,BULLCRK_1_2, 16.48,N
02/20/2017,01:00,BVE_CC1, 17.61,N
02/20/2017,01:00,BVE_UNIT1, 17.61,N
02/20/2017,01:00,BVE_UNIT2, 17.61,N
02/20/2017,01:00,BVE_UNIT3, 17.61,N
02/20/2017,01:00,BYU_BYU_1, 17.61,N
02/20/2017,01:00,BYU_BYU_12, 17.61,N
02/20/2017,01:00,BYU_BYU_34, 17.61,N
02/20/2017,01:00,BYU_BYU_G8, 17.61,N
02/20/2017,01:00,BYU_CC1, 17.61,N
02/20/2017,01:00,BYU_PUN1, 17.61,N
02/20/2017,01:00,BYU_PUN2, 17.61,N
02/20/2017,01:00,BYU_PUN3, 17.61,N
02/20/2017,01:00,BYU_PUN4, 17.61,N
02/20/2017,01:00,B_DAVIS_3, 17.51,N
02/20/2017,01:00,B_DAVIS_4, 17.51,N
02/20/2017,01:00,B_DAVIS_CC1, 17.51,N
02/20/2017,01:00,B_D_B_DAVIG1, 17.51,N
02/20/2017,01:00,B_D_B_DAVIG2, 17.51,N
02/20/2017,01:00,CALAVER_JKS1, 17.48,N
02/20/2017,01:00,CALAVER_JKS2, 17.48,N
02/20/2017,01:00,CALAVER_JTD1, 17.48,N
02/20/2017,01:00,CALAVER_JTD2, 17.48,N
02/20/2017,01:00,CALAVER_OWS1, 17.48,N
02/20/2017,01:00,CALAVER_OWS2, 17.48,N
02/20/2017,01:00,CALLAHA_WND1, 16.54,N
02/20/2017,01:00,CAL_ALL, 17.61,N
02/20/2017,01:00,CAL_CALGT1, 17.61,N
02/20/2017,01:00,CAL_CALSTG1, 17.61,N
02/20/2017,01:00,CAL_CC1, 17.61,N
02/20/2017,01:00,CAL_PUN1, 17.61,N
02/20/2017,01:00,CAL_PUN2, 17.61,N
02/20/2017,01:00,CAMWIND_RN, 17.51,N
02/20/2017,01:00,CAPRIDG4_CR4, 16.58,N
02/20/2017,01:00,CAPRIDGE_ALL, 16.58,N
02/20/2017,01:00,CARBN_BSP_1, 16.51,N
02/20/2017,01:00,CBECII_1, 17.6,N
02/20/2017,01:00,CBECII_2, 17.6,N
02/20/2017,01:00,CBECII_CC3, 17.6,N
02/20/2017,01:00,CBEC_ALL, 17.6,N
02/20/2017,01:00,CBEC_CC1, 17.6,N
02/20/2017,01:00,CBEC_CC2, 17.6,N
02/20/2017,01:00,CBY4_ALL, 17.61,N
02/20/2017,01:00,CBY4_CC1, 17.61,N
02/20/2017,01:00,CBY_CBY_G1, 17.61,N
02/20/2017,01:00,CBY_CBY_G2, 17.61,N
02/20/2017,01:00,CCEC_CC1, 17.51,N
02/20/2017,01:00,CCEC_GT1, 17.51,N
02/20/2017,01:00,CCEC_GT2, 17.51,N
02/20/2017,01:00,CCEC_PUN1, 17.51,N
02/20/2017,01:00,CCEC_PUN2, 17.51,N
02/20/2017,01:00,CCEC_ST1, 17.51,N
02/20/2017,01:00,CEDROHI_CHW1, 17.51,N
02/20/2017,01:00,CHEDPW_GT2, 17.62,N
02/20/2017,01:00,CHE_CC1, 17.62,N
02/20/2017,01:00,CHE_LYD, 17.61,N
02/20/2017,01:00,CHE_LYD2, 17.61,N
02/20/2017,01:00,CHE_PUN1, 17.61,N
02/20/2017,01:00,CHE_PUN2, 17.61,N
02/20/2017,01:00,COL_COLETOG1, 17.51,N
02/20/2017,01:00,COTPLNS_RN, 16.09,N
02/20/2017,01:00,COTTON_PAP2, 17.51,N
02/20/2017,01:00,CPSES_UNIT1, 16.67,N
02/20/2017,01:00,CPSES_UNIT2, 16.67,N
02/20/2017,01:00,CSC_CSECG1_2, 16.45,N
02/20/2017,01:00,CTL_GT_102, 17.61,N
02/20/2017,01:00,CTL_GT_103, 17.61,N
02/20/2017,01:00,CTL_GT_104, 17.61,N
02/20/2017,01:00,CTL_PUN1, 17.61,N
02/20/2017,01:00,CTL_PUN2, 17.61,N
02/20/2017,01:00,CTL_PUN3, 17.61,N
02/20/2017,01:00,CTL_ST_101, 17.61,N
02/20/2017,01:00,CVC_CC1, 17.62,N
02/20/2017,01:00,CVC_CVCG1_5, 17.62,N
02/20/2017,01:00,CVC_CVC_G2, 17.62,N
02/20/2017,01:00,CVC_CVC_G3, 17.62,N
02/20/2017,01:00,DANSBY_ALL, 17.62,N
02/20/2017,01:00,DC2SES_ALL, 16.65,N
02/20/2017,01:00,DC_E, 18.19,N
02/20/2017,01:00,DC_L, 17.51,N
02/20/2017,01:00,DC_N, 16.2,N
02/20/2017,01:00,DC_R, 17.51,N
02/20/2017,01:00,DC_S, 17.3,N
02/20/2017,01:00,DDPEC_CC1, 17.61,N
02/20/2017,01:00,DDPEC_GT1, 17.61,N
02/20/2017,01:00,DDPEC_GT2, 17.61,N
02/20/2017,01:00,DDPEC_GT3, 17.61,N
02/20/2017,01:00,DDPEC_GT4, 17.61,N
02/20/2017,01:00,DDPEC_GT6, 17.61,N
02/20/2017,01:00,DDPEC_ST1, 17.61,N
02/20/2017,01:00,DECKER_DPG1, 17.75,N
02/20/2017,01:00,DECKER_DPG2, 17.75,N
02/20/2017,01:00,DECKER_GT, 17.78,N
02/20/2017,01:00,DENISON_G1_2, 17.72,N
02/20/2017,01:00,DIB_CC1, 17.61,N
02/20/2017,01:00,DIB_DIB_G1, 17.61,N
02/20/2017,01:00,DIB_DIB_G2, 17.61,N
02/20/2017,01:00,DIB_DIB_G3, 17.61,N
02/20/2017,01:00,DIB_DIB_G4, 17.61,N
02/20/2017,01:00,DIB_PUN1, 17.61,N
02/20/2017,01:00,DIB_PUN2, 17.61,N
02/20/2017,01:00,DOWGEN_PUN1, 17.6,N
02/20/2017,01:00,DOWGEN_PUN2, 17.6,N
02/20/2017,01:00,DOWGEN_PUN3, 17.6,N
02/20/2017,01:00,DOW_61_2_63, 17.6,N
02/20/2017,01:00,DOW_64, 17.6,N
02/20/2017,01:00,DOW_81_2_84, 17.6,N
02/20/2017,01:00,DOW_G37_G35, 17.6,N
02/20/2017,01:00,DOW_G66_ST65, 17.6,N
02/20/2017,01:00,DOW_G67, 17.6,N
02/20/2017,01:00,DOW_G96_ST95, 17.6,N
02/20/2017,01:00,DUKE_CC1, 17.51,N
02/20/2017,01:00,DUKE_GST1CCU, 17.5,N
02/20/2017,01:00,DUKE_GT2_CCU, 17.5,N
02/20/2017,01:00,DUP_DUPV1_G1, 17.52,N
02/20/2017,01:00,DUP_PUN1, 17.52,N
02/20/2017,01:00,DUP_PUN2, 17.52,N
02/20/2017,01:00,DUP_PUN3, 17.52,N
02/20/2017,01:00,DUP_PUN4, 17.52,N
02/20/2017,01:00,ECLIPSE_UN1, 17.28,N
02/20/2017,01:00,ELB_ELBCREEK, 16.51,N
02/20/2017,01:00,ELECTRAW_1_2, 16.19,N
02/20/2017,01:00,ENAS_ENA1, 16.46,N
02/20/2017,01:00,ETCCS_CC1, 17.67,N
02/20/2017,01:00,ETCCS_CCU, 17.67,N
02/20/2017,01:00,EXGNSND_RN, 17.52,N
02/20/2017,01:00,EXGNWTL_1, 17.51,N
02/20/2017,01:00,EXN_14, 17.61,N
02/20/2017,01:00,EXN_1_3, 17.61,N
02/20/2017,01:00,EXN_4, 17.61,N
02/20/2017,01:00,EXN_8, 17.61,N
02/20/2017,01:00,EXN_9_13, 17.61,N
02/20/2017,01:00,EXN_PUN1, 17.61,N
02/20/2017,01:00,EXN_PUN2, 17.61,N
02/20/2017,01:00,EXN_PUN3, 17.61,N
02/20/2017,01:00,FAL_FALCONG1, 17.51,N
02/20/2017,01:00,FAL_FALCONG2, 17.51,N
02/20/2017,01:00,FAL_FALCONG3, 17.51,N
02/20/2017,01:00,FERGCC_CC1, 17.43,N
02/20/2017,01:00,FERGCC_GT1_1, 17.43,N
02/20/2017,01:00,FERGCC_GT2_3, 17.43,N
02/20/2017,01:00,FERGCC_ST1_5, 17.43,N
02/20/2017,01:00,FLCNS_CC1, 16.51,N
02/20/2017,01:00,FLCNS_UNIT1, 16.51,N
02/20/2017,01:00,FLCNS_UNIT2, 16.51,N
02/20/2017,01:00,FLCNS_UNIT3, 16.51,N
02/20/2017,01:00,FLTCK_SSI, 16.29,N
02/20/2017,01:00,FORMOSA_CC1, 17.52,N
02/20/2017,01:00,FORMOSA_PUN1, 17.52,N
02/20/2017,01:00,FORMOSA_PUN2, 17.52,N
02/20/2017,01:00,FO_FORMOSA11, 17.52,N
02/20/2017,01:00,FO_FORMOSA12, 17.52,N
02/20/2017,01:00,FO_FORMOSG1, 17.52,N
02/20/2017,01:00,FO_FORMOSG10, 17.52,N
