DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
02/14/2017,01:00,AEEC, 17.78,N
02/14/2017,01:00,AMISTAD_ALL, 17.91,N
02/14/2017,01:00,AMOCOOIL_CC1, 17.75,N
02/14/2017,01:00,AMOCOOIL_CC2, 17.75,N
02/14/2017,01:00,AMOCO_PUN1, 17.75,N
02/14/2017,01:00,AMOCO_PUN2, 17.75,N
02/14/2017,01:00,AMO_AMOCO_1, 17.75,N
02/14/2017,01:00,AMO_AMOCO_2, 17.75,N
02/14/2017,01:00,AMO_AMOCO_5, 17.75,N
02/14/2017,01:00,AMO_AMOCO_G1, 17.75,N
02/14/2017,01:00,AMO_AMOCO_G2, 17.75,N
02/14/2017,01:00,AMO_AMOCO_G3, 17.75,N
02/14/2017,01:00,AMO_AMOCO_S1, 17.75,N
02/14/2017,01:00,AMO_AMOCO_S2, 17.75,N
02/14/2017,01:00,ANACACHO_ANA, 17.95,N
02/14/2017,01:00,ATK_ATKINSG7, 17.76,N
02/14/2017,01:00,AUSTPL_ALL, 17.76,N
02/14/2017,01:00,AZ_ALL, 17.75,N
02/14/2017,01:00,BAC_RN_ALL, 17.75,N
02/14/2017,01:00,BAFFIN_ALL, 17.04,N
02/14/2017,01:00,BASTEN_CC1, 17.76,N
02/14/2017,01:00,BASTEN_CCU, 17.76,N
02/14/2017,01:00,BBSES_UNIT1, 17.77,N
02/14/2017,01:00,BBSES_UNIT2, 17.77,N
02/14/2017,01:00,BCATWD_WD_1, 17.78,N
02/14/2017,01:00,BFM_HYD_ST1, 17.75,N
02/14/2017,01:00,BLSMT1_5_A_6, 17.78,N
02/14/2017,01:00,BOOTLEG_UN1, 17.63,N
02/14/2017,01:00,BORDAS_345, 17.38,N
02/14/2017,01:00,BORDAS_ALL, 17.39,N
02/14/2017,01:00,BOSQUESW_CC1, 17.77,N
02/14/2017,01:00,BOSQUESW_CC2, 17.77,N
02/14/2017,01:00,BOSQ_BSQSU_5, 17.77,N
02/14/2017,01:00,BOSQ_BSQS_12, 17.77,N
02/14/2017,01:00,BOSQ_BSQS_34, 17.77,N
02/14/2017,01:00,BRAUNIG_CC1, 17.75,N
02/14/2017,01:00,BRAUNIG_VHB1, 17.77,N
02/14/2017,01:00,BRAUNIG_VHB2, 17.77,N
02/14/2017,01:00,BRAUNIG_VHB3, 17.77,N
02/14/2017,01:00,BRAZ_WND_ALL, 17.79,N
02/14/2017,01:00,BRA_AVR1_CT2, 17.75,N
02/14/2017,01:00,BRA_AVR_CST1, 17.75,N
02/14/2017,01:00,BRISCOE_WIND, 17.78,N
02/14/2017,01:00,BRTSW_BCW1, 17.78,N
02/14/2017,01:00,BR_VHB6CT5_6, 17.77,N
02/14/2017,01:00,BR_VHB6CT7_8, 17.77,N
02/14/2017,01:00,BSF_PUN1, 17.75,N
02/14/2017,01:00,BSF_PUN2, 17.75,N
02/14/2017,01:00,BTE_BTE_G1, 17.75,N
02/14/2017,01:00,BTE_BTE_G2, 17.75,N
02/14/2017,01:00,BTE_BTE_G3, 17.75,N
02/14/2017,01:00,BTE_BTE_G4, 17.75,N
02/14/2017,01:00,BTE_CC1, 17.75,N
02/14/2017,01:00,BTE_PUN1, 17.75,N
02/14/2017,01:00,BTE_PUN2, 17.75,N
02/14/2017,01:00,BUCHAN_ALL, 17.75,N
02/14/2017,01:00,BUFF_GAP_ALL, 17.78,N
02/14/2017,01:00,BULLCRK_1_2, 17.8,N
02/14/2017,01:00,BVE_CC1, 17.75,N
02/14/2017,01:00,BVE_UNIT1, 17.75,N
02/14/2017,01:00,BVE_UNIT2, 17.75,N
02/14/2017,01:00,BVE_UNIT3, 17.75,N
02/14/2017,01:00,BYU_BYU_1, 17.75,N
02/14/2017,01:00,BYU_BYU_12, 17.75,N
02/14/2017,01:00,BYU_BYU_34, 17.75,N
