name,lat,long
SPLAIN1_RN,34.147577,-101.371181
MNSES_UNIT3,33.090748,-95.038249
MCSES_UNIT7,32.725505,-96.936722
CEDROHI_CHW1,27.608743,-98.843784
MCDLD_FCSBW1,32.024824,-101.280114
SOLARA_UNIT1,33.061829,-99.673936
HHOLLW2_WND1,32.226344,-100.040198
FREC_CC1,31.890452,-96.111612
PC_SOUTH_ALL,32.137619,-101.469954
WIPOPA_1_2,30.038281,-96.987361
PENA_ALL,27.000141,-97.599773
BVE_CC1,29.472546,-95.6233
LEONLCPCT3_4,29.351602,-98.575478
VICTORIA_CC1,28.787301,-97.009991
IND_INADALE1,32.497305,-100.596358
IN_INDNENR,30.915068,-102.092793
LONEWOLF_ALL,32.506124,-100.70936
BUFF_GAP_ALL,32.298543,-100.115386
ELB_ELBCREEK,32.140883,-101.398767
LARDVFTN_G4,27.566927,-99.508432
MIAM1_G1_G2,35.654473,-100.633457
SSPURT_WIND1,35.22615,-102.1834
AZ_ALL,29.702014,-95.071478
CCEC_CC1,27.81204,-97.429057
ENAS_ENA1,32.73004,-100.735316
BAFFIN_ALL,27.103234,-97.528657
WAKEWE_ALL,33.745055,-100.992187
FPPYD_FPP_G2,29.916026,-96.750626
TC_TCHP1,29.703834,-95.39812
RIONOG_CC1,29.593262,-97.973631
SANDHSYD_CC1,30.209943,-97.613073
SPNC_SPNCE_4,33.197636,-97.106452
SAN_SANMIGG1,28.70439,-98.476409
LV3_RN,26.472989,-98.612325
B_DAVIS_CC1,27.607441,-97.310196
DUP_PUN1,28.674719,-96.954831
TNSKA_CC1,33.724396,-95.566827
KEECHI_U1,33.113825,-98.217426
GOA_GOATWIND,31.909922,-100.861431
TRENT_TRENT,32.439597,-100.220527
MARBFA,30.556606,-98.256406
SWEC_G1,32.239915,-101.838132
MIL_MILG1_2,32.658481,-98.310089
SLTFRK_UN1_2,34.987137,-100.888395
TGCCS_CC1,32.018188,-94.620088
REROCK_ALL,30.894621,-102.831362
BSF_PUN1,29.001102,-95.395136
WHTTAIL_WR1,33.719111,-97.427082
SRB_SRB_G4,29.726801,-95.059882
EXGNSND_RN,27.191033,-98.909318
